	Jaak Joala	Urmas Alender
Saatejuhid	2	1
Kõrvits	1	0
räägivad	1	0
lugude	1	0
esinemistest	1	0
Muusika	2	0
ansamblilt	1	2
Vikerraadio	1	0
Autor	2	0
Saatejuht	2	0
peab	1	0
lavastaja	1	0
Leo	1	0
levimuusikapäevad	1	0
Radsin	1	0
Saade	2	0
ansamblite	2	1
Ringvaade	2	0
Sündinud	2	0
pühendatud	1	2
sambaga	1	1
Marko	1	0
Suurmägi	1	0
jaanuaris	1	0
nõudekirja	1	0
kriitikat	1	0
eemaldati	1	0
lõhuti	1	0
umber	1	0
ümber	1	0
mtu	1	0
seisab	1	0
Monumendi	2	0
eestvedaja	1	0
linnavolikogu	1	0
Aaltonen	2	1
avamist	1	0
paigaldamise	1	0
pargist	1	0
elanikke	1	0
lesk	1	0
paar	1	0
aprill	1	1
Laulu	2	1
kevadel	1	2
Virmaliste	1	0
Koosseis	2	0
Ülo	1	2
Kalju	1	0
Oppi	1	1
Stockholm	1	0
Ansamblite	2	1
ansamblid	1	0
lugudel	1	2
lool	1	0
löökpillid	1	0
11	1	0
18	1	1
27	1	1
28	1	0
33	1	1
43	1	0
46	1	0
60	1	1
1941	1	0
1952	1	1
1964	1	0
1967	1	0
1970	1	0
1990	1	1
2000	1	0
2005	1	1
2018	1	1
3393	1	1
67865	1	0
92140981	1	0
pilt	2	0
pildiallkiri	1	1
pildi_suurus	1	1
horisontaalne	1	1
taust	1	1
alias	1	1
päritolu	1	1
kitarr	1	1
stiil	1	1
tegev	1	1
Meloodia	1	1
seotud_esitajad	1	0
sündis	1	1
Jaagu	1	1
ema	1	0
Helgi	1	0
Ridamäe	1	0
isa	1	0
eas	1	1
tuntud	1	0
õppima	1	1
it	1	0
vanemate	1	1
kaasa	1	0
alustas	1	0
keskkoolis	1	1
asus	1	0
Muusikakool	1	1
sügisel	1	0
lood	1	1
Ainult	2	1
sul	1	0
Naer	2	0
päev	1	0
Üksinda	1	0
saadetes	1	0
kiiresti	1	0
Tallinnas	1	1
sealt	1	0
võimalik	1	0
kontsertidel	1	0
publiku	1	0
lauldud	1	1
vasakul	1	1
Foto	2	0
poolest	1	2
võitis	1	0
paljudel	1	0
välismaal	1	0
lauluvõistlusel	1	0
ürii	1	0
eripreemia	1	0
III	1	0
preemia	1	0
esitas	1	0
heliloojatest	1	0
Oit	1	0
Uno	1	0
Kustas	1	0
Rein	1	0
Viktor	1	1
tolleaegsetest	1	0
Kadrioru	1	0
kõlakojas	1	0
Kesktelevisiooni	1	0
milles	1	0
tõi	1	0
rahvast	1	0
täis	1	0
korda	1	0
laureaadiks	1	1
osa	1	0
tarvis	1	1
tundsin	1	0
hästi	1	0
tõeline	1	0
eestlane	1	0
see	2	0
sellistes	1	2
meil	1	0
mingi	1	0
Riikliku	2	0
teeneline	1	1
teenelise	1	0
kunstniku	1	0
tabas	1	0
meenutab	1	0
joalaga	2	0
Merle	2	0
järgnes	1	0
lõpuks	1	0
aastaks	1	0
endale	1	0
peaaegu	2	0
tehti	1	0
esineda	1	1
Eestist	1	1
u	1	0
Jaanus	1	1
Kulli	1	1
kohe	1	0
Vahe	1	0
radar	2	1
omas	1	0
parim	2	0
lõpus	1	0
muusikapäevad	1	0
X	1	0
Rock	2	0
Summer	1	1
välja	1	1
arvata	1	1
tenori	1	0
article	1	0
Marju	1	0
Delfi	2	0
konferansjee	1	2
Oti	1	0
novembril	1	0
Mul	1	0
nüüd	1	0
saabus	1	1
alla	1	1
Sellest	2	1
ühe	1	1
Doris	1	0
mind	1	1
uudised	1	1
jt	1	0
Madis	1	1
suvel	1	0
viimane	1	0
mees	1	1
selja	1	2
taha	1	0
veel	1	0
kokku	1	1
Eri	1	1
Raimond	1	0
Tarmo	1	0
kümme	1	0
vahur	2	1
kersna	2	0
ole	1	0
olemas	1	1
ausammast	1	0
kahtlemata	1	0
kuningas	1	0
mais	1	0
infarktiga	1	0
südame	1	0
tõttu	1	0
suure	1	1
Tunnustus	1	1
Sopoti	1	1
Valgetähe	1	0
IV	1	0
määratud	1	0
võtma	1	0
intervjuust	1	0
presidendi	1	0
TV	2	0
artistideks	1	0
kuulutati	1	0
saatma	1	0
levimuusika	1	0
kuninga	1	0
kunagistest	1	0
koduakendest	1	0
Nov	1	0
juuli	1	0
toimus	1	1
esitati	1	1
lauludest	1	0
Radari	1	0
Aare	1	0
Põder	1	0
septembril	1	0
Elu	3	0
album	1	1
linnavalitsuse	1	1
Balti	2	0
Esialgu	1	0
jaama	1	0
tuleb	1	0
lauljale	1	0
Kenno	1	0
Soo	1	0
Vaata	2	0
kord	1	2
Valter	1	0
Arhiivisaated	1	0
lapsepõlvest	1	0
Muusikaline	2	0
Saate	2	0
Rand	1	0
kirjutamisest	1	0
rahast	1	0
tasemest	1	0
saadetest	1	0
salvestamisest	1	0
tehnikast	1	0
pidudest	1	0
riietusest	1	0
õppestuudiost	1	0
ühiskontserdist	1	0
Kosmoses	1	0
Reet	1	0
Enn	1	0
üheks	1	0
Karpin	1	1
operaator	1	0
keeles	1	0
Brambat	1	1
Pirita	1	0
kloostri	1	0
varemetes	1	0
laulavad	1	0
orkestrit	1	0
juhatab	1	0
Heiki	1	0
Vahar	1	1
palju	2	0
Sergei	1	0
etv	2	0
Andres	1	0
Laine	1	1
Verni	1	0
Leivak	1	0
Riho	1	0
haaranud	1	0
laulude	1	0
maania	1	1
saadetakse	1	0
viimsele	1	0
Esitajate	1	0
Intervjuu	2	0
Olavi	1	1
märts	1	0
JÄRJESTA	1	1
öös	1	1
öösel	1	0
Posti	1	0
skulptor	1	0
nägu	1	0
käed	1	1
tuled	1	0
Samal	1	0
punamonumentidele	1	1
viimased	2	0
vastanud	1	1
lõpptulemus	1	0
vastuvõetamatu	1	0
au	1	0
rikkumine	1	0
sellekohase	1	0
linnavalitsusele	1	0
Monument	2	0
otsustas	1	0
linnavalitsus	2	0
võtta	1	0
Linnahoolduse	1	0
lattu	1	0
juulis	1	0
Muuseum	1	0
Muuseumi	2	0
Ausammas	2	0
skandaal	1	0
Kuju	2	1
teos	1	0
olla	1	0
kujunes	1	0
monumenti	1	1
kroonika	2	0
kujul	1	0
saab	1	0
piiluaukudest	1	0
vaadata	1	0
Kroonika	2	0
ara	1	0
olev	2	0
kaotas	1	0
turismimagneti	1	0
edaspidi	1	0
püstitamise	1	0
Isamaa	1	0
Harri	1	1
Juhani	1	0
valesti	1	0
läks	2	0
saatis	1	1
piisavalt	1	0
seisis	1	0
arvates	1	1
Linnavalitsus	2	0
paigaldamine	1	0
päeva	1	0
võimalus	1	0
päeval	1	1
teose	1	0
tellinud	1	0
kingitud	1	0
sammas	1	0
lauluga	1	0
naabruskonna	1	0
esitatud	1	0
nime	2	0
lammutamist	1	1
eemaldada	1	0
elt	1	0
kuni	1	0
pärijad	1	1
läbirääkimised	1	0
katkestasid	1	0
eemaldamist	1	0
eksponeerida	1	0
loobub	1	0
taotlemisest	1	0
leitud	1	0
plaadid	1	0
lubasid	1	0
ruttu	1	0
taastada	1	0
uueks	1	0
asukohaks	1	0
kuud	1	0
kulunud	1	0
raha	1	0
tagastama	1	0
muuseumi	2	0
mehenimi	1	0
eesnimi	1	0
elaniku	1	0
teatrikriitik	1	0
ajaloolane	1	0
endine	1	0
korvpallur	1	0
tuntuks	1	0
sõnad	1	0
antikvariaat	1	1
eu	1	0
mu	2	0
noot	1	0
biitmuusika	2	0
tegutses	1	0
as	1	1
sealhulgas	2	3
alates	2	1
Jüri	1	2
Lina	1	1
salvestati	1	0
tegevust	1	1
koosseisu	1	1
trummid	1	1
Soots	1	1
Malbur	1	0
Preast	1	0
Vaarmann	1	0
Terra	1	0
Referent	1	0
CD	1	0
meenutatakse	2	1
Biitmuusika	2	0
koosseis	2	0
Sa	2	2
trompet	1	2
On	2	1
naine	1	2
vally	2	1
ojavere	2	0
kirjutamine	1	0
aastaselt	1	0
infarkti	1	0
tundnud	1	0
kontsert	1	0
Ele	1	1
Raul	1	0
web	1	1
7	2	0
Veiko	1	2
Kittask	1	0
5	2	0
8	2	2
19	1	1
20	1	1
30	1	1
40	1	1
45	1	1
50	1	1
55	1	0
57	1	1
70	1	1
76	1	0
78	1	0
92	1	0
94	1	0
127	1	0
266	1	0
400	1	0
621	1	0
691	1	0
762	1	0
1399	1	0
1591	1	0
1926	1	0
1949	1	0
1951	1	0
1961	1	0
1971	1	0
1976	1	1
1986	1	1
1992	1	1
1994	1	1
1995	1	1
1999	1	1
2002	1	1
2004	1	0
2006	1	1
2011	1	1
2121	1	0
2337	1	0
4611	1	0
10539	1	0
15919	1	0
17528	1	0
23973	1	0
29332	1	0
35610	1	0
36668	1	0
68926	1	0
85144	1	0
176427	1	0
261700	1	0
284571	1	0
291167	1	0
300603	1	0
584469	1	0
596840	1	0
601631	1	0
910212	1	0
958816	1	0
977423	1	0
1222159	1	0
2933885	1	0
2934341	1	0
4036549	1	0
4146627	1	0
7105126	1	0
7145401	1	0
7384898	1	0
7385031	1	0
7429216	1	0
7597738	1	0
69827059	1	0
69827429	1	0
71779449	1	0
75678831	1	0
92642383	1	0
94972739	1	0
